week,date,player,team,actual,prediction,opening_line,closing_line,line_movement,bet_type,edge,odds,won,profit,clv,used_opening
2,2025-10-24,Dyson Daniels,Atlanta Hawks,6,10.028740882873535,11.5,12.5,1.0,UNDER,1.4712591171264648,-104.0,True,96.15384615384616,-1.0,True
2,2025-10-24,Josh Hart,New York Knicks,2,9.400263786315918,,8.5,,OVER,0.900263786315918,-110.0,False,-100.0,,False
2,2025-10-24,Payton Pritchard,Boston Celtics,8,11.650136947631836,16.5,16.5,0.0,UNDER,4.849863052368164,-116.0,True,86.20689655172413,-0.0,True
2,2025-10-24,Gradey Dick,Toronto Raptors,5,10.233171463012695,9.5,8.5,-1.0,OVER,0.7331714630126953,-119.0,False,-100.0,-1.0,True
2,2025-10-24,Terance Mann,Brooklyn Nets,4,8.331575393676758,7.5,7.5,0.0,OVER,0.8315753936767578,-118.0,False,-100.0,0.0,True
2,2025-10-24,Anfernee Simons,Boston Celtics,10,15.369367599487305,15.5,15.5,0.0,UNDER,0.1306324005126953,-119.0,True,84.03361344537815,-0.0,True
2,2025-10-24,Trae Young,Atlanta Hawks,25,23.97838592529297,24.5,24.5,0.0,UNDER,0.5216140747070312,-115.0,False,-100.0,-0.0,True
2,2025-10-24,Giannis Antetokounmpo,Milwaukee Bucks,31,29.024795532226562,30.5,31.5,1.0,UNDER,1.4752044677734375,-114.0,True,87.71929824561403,-1.0,True
2,2025-10-24,Paolo Banchero,Orlando Magic,11,26.526554107666016,24.5,25.5,1.0,OVER,2.0265541076660156,-119.0,False,-100.0,1.0,True
2,2025-10-24,Scottie Barnes,Toronto Raptors,17,16.12849998474121,18.5,18.5,0.0,UNDER,2.371500015258789,-126.0,True,79.36507936507937,-0.0,True
2,2025-10-24,Tyrese Martin,Brooklyn Nets,3,8.76430606842041,,7.5,,OVER,1.2643060684204102,-109.0,False,-100.0,,False
2,2025-10-24,Jordan Clarkson,New York Knicks,6,9.614811897277832,,8.5,,OVER,1.114811897277832,-110.0,False,-100.0,,False
2,2025-10-24,Anthony Black,Orlando Magic,8,9.618416786193848,7.5,7.5,0.0,OVER,2.1184167861938477,-126.0,True,79.36507936507937,0.0,True
2,2025-10-24,Kyle Kuzma,Milwaukee Bucks,8,9.414395332336426,10.5,10.5,0.0,UNDER,1.0856046676635742,-101.0,True,99.00990099009901,-0.0,True
2,2025-10-24,Jakob Poeltl,Toronto Raptors,6,11.902158737182617,11.5,11.5,0.0,OVER,0.4021587371826172,-105.0,False,-100.0,0.0,True
2,2025-10-24,Jalen Johnson,Atlanta Hawks,12,17.374767303466797,18.5,19.5,1.0,UNDER,1.1252326965332031,-112.0,True,89.28571428571429,-1.0,True
2,2025-10-24,Jalen Suggs,Orlando Magic,11,8.846847534179688,10.5,9.5,-1.0,UNDER,1.6531524658203125,-121.0,False,-100.0,1.0,True
2,2025-10-24,Gary Trent Jr.,Milwaukee Bucks,20,10.423911094665527,12.5,12.5,0.0,UNDER,2.0760889053344727,-114.0,False,-100.0,-0.0,True
2,2025-10-24,Noah Clowney,Brooklyn Nets,5,7.412888526916504,,7.5,,UNDER,0.0871114730834961,-102.0,True,98.0392156862745,,False
2,2025-10-24,Sam Hauser,Boston Celtics,18,8.08986759185791,8.5,8.5,0.0,UNDER,0.41013240814208984,-128.0,False,-100.0,-0.0,True
2,2025-10-24,Day'Ron Sharpe,Brooklyn Nets,2,7.319857597351074,6.5,6.5,0.0,OVER,0.8198575973510742,-111.0,False,-100.0,0.0,True
2,2025-10-24,Lonzo Ball,Cleveland Cavaliers,2,7.56181526184082,8.5,8.5,0.0,UNDER,0.9381847381591797,-116.0,True,86.20689655172413,-0.0,True
2,2025-10-24,Sam Merrill,Cleveland Cavaliers,22,6.686929225921631,10.5,11.5,1.0,UNDER,3.813070774078369,-115.0,False,-100.0,-1.0,True
2,2025-10-24,Ochai Agbaji,Toronto Raptors,3,8.581975936889648,,5.5,,OVER,3.0819759368896484,-133.0,False,-100.0,,False
2,2025-10-24,Bobby Portis,Milwaukee Bucks,11,9.616913795471191,10.5,10.5,0.0,UNDER,0.8830862045288086,-112.0,False,-100.0,-0.0,True
2,2025-10-24,Wendell Carter Jr.,Orlando Magic,10,8.03853702545166,9.5,9.5,0.0,UNDER,1.4614629745483398,-131.0,False,-100.0,-0.0,True
2,2025-10-24,Mikal Bridges,New York Knicks,12,13.074653625488281,15.5,15.5,0.0,UNDER,2.4253463745117188,-105.0,True,95.23809523809523,-0.0,True
2,2025-10-24,Franz Wagner,Orlando Magic,27,22.46625518798828,22.5,22.5,0.0,UNDER,0.03374481201171875,-109.0,False,-100.0,-0.0,True
2,2025-10-24,Dean Wade,Cleveland Cavaliers,6,4.741403102874756,,7.5,,UNDER,2.758596897125244,-104.0,True,96.15384615384616,,False
2,2025-10-24,Luke Kennard,Atlanta Hawks,6,5.6346821784973145,,9.5,,UNDER,3.8653178215026855,-127.0,True,78.74015748031496,,False
2,2025-10-24,Neemias Queta,Boston Celtics,8,6.373663902282715,9.5,8.5,-1.0,UNDER,3.126336097717285,-109.0,True,91.74311926605505,1.0,True
2,2025-10-24,Onyeka Okongwu,Atlanta Hawks,17,13.429052352905273,11.5,14.5,3.0,OVER,1.9290523529052734,-102.0,True,98.0392156862745,3.0,True
2,2025-10-24,Jarrett Allen,Cleveland Cavaliers,22,7.0710015296936035,13.5,14.5,1.0,UNDER,6.4289984703063965,-110.0,False,-100.0,-1.0,True
2,2025-10-24,Derrick White,Boston Celtics,15,15.481937408447266,20.5,20.5,0.0,UNDER,5.018062591552734,-108.0,True,92.5925925925926,-0.0,True
2,2025-10-24,Ryan Rollins,Milwaukee Bucks,13,7.2949652671813965,9.5,10.5,1.0,UNDER,2.2050347328186035,-101.0,False,-100.0,-1.0,True
2,2025-10-24,Tristan da Silva,Orlando Magic,15,7.06584358215332,6.5,6.5,0.0,OVER,0.5658435821533203,-119.0,True,84.03361344537815,0.0,True
2,2025-10-24,Evan Mobley,Cleveland Cavaliers,13,18.63182258605957,21.5,22.5,1.0,UNDER,2.8681774139404297,-107.0,True,93.45794392523365,-1.0,True
2,2025-10-24,Jaylen Brown,Boston Celtics,23,16.426267623901367,24.5,24.5,0.0,UNDER,8.073732376098633,-117.0,True,85.47008547008546,-0.0,True
2,2025-10-24,Karl-Anthony Towns,New York Knicks,26,21.068010330200195,20.5,21.5,1.0,OVER,0.5680103302001953,-117.0,True,85.47008547008546,1.0,True
2,2025-10-24,Miles McBride,New York Knicks,10,10.08841609954834,9.5,9.5,0.0,OVER,0.5884160995483398,-112.0,True,89.28571428571429,0.0,True
2,2025-10-24,Desmond Bane,Orlando Magic,15,18.861127853393555,19.5,18.5,-1.0,UNDER,0.6388721466064453,-123.0,True,81.30081300813008,1.0,True
2,2025-10-24,Immanuel Quickley,Toronto Raptors,19,12.795860290527344,16.5,17.5,1.0,UNDER,3.7041397094726562,-115.0,False,-100.0,-1.0,True
2,2025-10-24,OG Anunoby,New York Knicks,10,20.403507232666016,15.5,16.5,1.0,OVER,4.903507232666016,-127.0,False,-100.0,1.0,True
2,2025-10-24,Cam Thomas,Brooklyn Nets,33,20.389404296875,20.5,20.5,0.0,UNDER,0.110595703125,-116.0,False,-100.0,-0.0,True
